Year,Month,Rain_roll,SPEI,CWD
1995,1,NA,-1.048327907,0
1995,2,NA,1.213965684,0
1995,3,321.9,-0.058330691,22.6
1995,4,304.1,-0.839914521,22.1
1995,5,434.7,0.429143191,0
1995,6,550,-0.062432707,0
1995,7,639.3,-0.505891795,0
1995,8,573.7,-0.575527213,0
1995,9,668.3,0.461390266,0
1995,10,657.6,-0.489632488,0
1995,11,553.3,-1.315497364,2.2
1995,12,503.4,-0.079066255,0
1996,1,616.5,1.043212179,0
1996,2,614.6,0.035782628,1.8
1996,3,482,0.563693605,12.8
1996,4,420.5,0.527588794,0
1996,5,332.4,-1.992805835,48.7
1996,6,334.8,-0.729631513,28.4
1996,7,433.7,0.941770618,0
1996,8,440.8,-2.205687474,47.2
1996,9,542.4,-0.370146978,0
1996,10,528.9,1.011981814,0
1996,11,555.9,-1.680414628,18.3
1996,12,459.2,-1.227422823,0
1997,1,249.7,-1.221951136,0
1997,2,352.7,1.437934627,0
1997,3,291.2,-0.753842635,31.4
1997,4,198.9,-1.986281337,84.7
1997,5,192.4,-0.644576225,8.3
1997,6,203.6,-1.243160726,81.5
1997,7,407.7,-0.182521108,0
1997,8,538.9,0.082668572,0
1997,9,644.2,-0.851623933,0
1997,10,578.3,-0.852688842,0
1997,11,538.7,-0.17858499,0
1997,12,424,-1.750182013,19.4
1998,1,637.2,1.518765788,0
1998,2,545.9,1.236764052,0
1998,3,658.4,1.442765506,0
1998,4,492.6,0.323385941,0
1998,5,530,-0.181388473,0
1998,6,528.2,-0.266053103,0
1998,7,612.5,0.533509075,0
1998,8,703.7,0.091614641,0
1998,9,955.3,1.533768226,0
1998,10,944.2,0.722757111,0
1998,11,961.8,0.35764506,0
1998,12,907.8,1.206664404,0
1999,1,808.9,-0.209941766,0
1999,2,628.4,0.348949161,0
1999,3,311.2,-0.931634358,33.4
1999,4,248.5,-0.640456997,16.6
1999,5,307.1,-0.342030287,0
1999,6,571.3,0.702594719,0
1999,7,678.8,-0.108534997,0
1999,8,785.6,0.13623484,0
1999,9,724.6,0.117351497,0
1999,10,801.4,0.911772418,0
1999,11,851.7,0.717037187,0
1999,12,949.1,1.078204547,0
2000,1,793.2,-0.727614756,0
2000,2,506.4,-1.603319686,24.2
2000,3,205.3,-1.019762697,46.6
2000,4,121.9,-1.318733959,65
2000,5,280.4,-0.158375551,0
2000,6,381.2,-0.45541859,7.3
2000,7,474.2,-0.995825665,7.2
2000,8,645.1,0.93379214,0
2000,9,630.9,-1.125245845,1.8
2000,10,629.3,-0.923832876,0
2000,11,383.3,-1.162507193,0
2000,12,394.3,-0.994261692,0
2001,1,394.2,-0.575639384,0
2001,2,411.5,0.987196769,0
2001,3,333.2,-0.352223606,26.4
2001,4,300.3,-0.584267464,12.9
2001,5,342.1,-0.272597157,0
2001,6,391.3,-0.738769077,19.7
2001,7,419.3,-1.048892412,9
2001,8,524.5,0.179670131,0
2001,9,551.5,-1.093561088,0.8
2001,10,619.9,-0.014397531,0
2001,11,517.3,-0.556454695,0
2001,12,786.5,1.659623665,0
2002,1,752,-0.212696761,0
2002,2,619.4,-1.329251935,19.6
2002,3,288.1,-0.036129575,28.3
2002,4,281.5,0.078199528,0
2002,5,351.5,-0.838135652,14.2
2002,6,376.6,-0.781080412,24.7
2002,7,419.8,-0.252444816,0
2002,8,439.9,-1.194681883,4.3
2002,9,650.3,0.709961545,0
2002,10,632.4,-0.234691785,0
2002,11,615.4,-1.1223883,0
2002,12,511.8,-0.342687003,0
2003,1,556.5,0.638130303,0
2003,2,533.2,-0.114040502,3.6
2003,3,399.7,-0.083208631,23.9
2003,4,600.6,1.683734541,0
2003,5,595.6,-1.105361397,20.7
2003,6,668.9,-0.37695318,1.6
2003,7,422.2,-0.418680103,0
2003,8,570.6,-0.174966826,0
2003,9,609,-0.629728453,0
2003,10,624.8,0.020586765,0
2003,11,821.7,1.511608893,0
2003,12,914.9,0.436303414,0
2004,1,818.2,-0.968128673,0
2004,2,474.5,-0.114040502,3.5
2004,3,305,0.663930418,11.1
2004,4,321.6,-0.363941936,3
2004,5,637.3,1.152191826,0
2004,6,815.4,0.569993243,0
2004,7,966.4,0.540378747,0
2004,8,699.5,-1.181025444,3.3
2004,9,807.9,1.451474884,0
2004,10,788.8,0.612975643,0
2004,11,990.7,0.818320883,0
2004,12,804.5,-0.29943208,0
2005,1,823.6,0.972947938,0
2005,2,519.9,-1.428247956,21.1
2005,3,321,-1.878727723,64.5
2005,4,366.3,1.211183384,0
2005,5,654,0.834115826,0
2005,6,920.8,0.552591375,0
2005,7,948.3,1.196898139,0
2005,8,936.2,0.579214516,0
2005,9,821,-0.817438508,0
2005,10,944.2,1.904773511,0
2005,11,903.6,0.244977963,0
2005,12,913.2,-0.755203533,0
2006,1,793.7,1.407860522,0
2006,2,590.5,-0.767052766,11.5
2006,3,468.5,-0.582613467,33.8
2006,4,557.4,1.695873382,0
2006,5,642.1,-0.422573914,0
2006,6,852,0.432174705,0
2006,7,772.1,1.254914196,0
2006,8,816.5,-0.622131472,0
2006,9,641.4,-1.590268922,19.8
2006,10,723.5,1.776818376,0
2006,11,747,-0.192936187,0
2006,12,866.8,-0.446665113,0
2007,1,562.4,-0.664105973,0
2007,2,390.3,-1.145210609,16.7
2007,3,296.5,0.795248502,9.6
2007,4,572.6,1.593646978,0
2007,5,601.2,-1.105361397,20.5
2007,6,697.5,0.086841895,0
2007,7,478.5,-0.350524535,0
2007,8,547.7,-1.069577794,0
2007,9,622.1,0.390529476,0
2007,10,620.2,-0.091216681,0
2007,11,687.7,-0.256692458,0
2007,12,759.1,1.09445263,0
2008,1,916.1,1.476067416,0
2008,2,789.9,-0.326394907,6.1
2008,3,480.3,-0.947262384,36.2
2008,4,342.7,0.455390989,0
2008,5,455.6,-0.00987665,0
2008,6,687.3,0.518929008,0
2008,7,560.7,-1.543006417,22.5
2008,8,557.2,-0.549666508,0
2008,9,700,1.644284359,0
2008,10,855,0.44261106,0
2008,11,817.8,-0.720749923,0
2008,12,606.3,-0.402007722,0
2009,1,493.6,-0.740098561,0
2009,2,456.3,0.969431129,0
2009,3,399,1.376240729,0
2009,4,391.4,-0.420356229,4.3
2009,5,486.1,0.159551231,0
2009,6,816.5,1.396376298,0
2009,7,890.8,-0.33712931,0
2009,8,1009.2,0.766753038,0
2009,9,790.7,0.198095792,0
2009,10,741.8,-0.958114583,0
2009,11,872.6,1.668230847,0
2009,12,697.6,-1.455235567,5.2
2010,1,835.2,1.059915741,0
2010,2,413.3,-1.161621132,16.9
2010,3,466.9,1.177256839,0
2010,4,339.6,-0.028756241,0
2010,5,804.2,1.555674084,0
2010,6,1123.2,1.304589122,0
2010,7,1321.9,1.243422502,0
2010,8,1162.5,0.893191847,0
2010,9,1059.2,1.054069402,0
2010,10,1005.5,0.960419598,0
2010,11,964.8,0.567018171,0
2010,12,929.1,0.886083506,0
2011,1,759.7,-0.740098561,0
2011,2,538.3,-0.222531522,4.8
2011,3,301.6,0.182822708,20.1
2011,4,297.1,-0.368421667,3.6
2011,5,658.4,1.376579601,0
2011,6,1248.3,1.879160334,0
2011,7,1574,1.921760456,0
2011,8,1683.8,2.284579145,0
2011,9,1285,0.348218224,0
2011,10,1038.7,-0.053846748,0
2011,11,660,-0.501002907,0
2011,12,752.3,1.243777402,0
2012,1,734.6,0.079146019,0
2012,2,631.2,-0.402371792,6.8
2012,3,480.7,1.915496007,0
2012,4,536.8,0.740946428,0
2012,5,685.8,0.187066757,0
2012,6,484.8,-1.677905538,48
2012,7,522.9,0.564810793,0
2012,8,585.8,0.295055797,0
2012,9,662.6,-1.532695101,17.5
2012,10,569.2,-0.160653729,0
2012,11,396.6,-1.055808565,0
2012,12,544.1,-0.030516643,0
2013,1,451.5,-1.303654862,0
2013,2,426.5,-0.089732453,3.2
2013,3,278.3,0.535374823,13.3
2013,4,351.2,0.080120552,0
2013,5,860.1,1.801527974,0
2013,6,1286.8,1.482628709,0
2013,7,1381.3,0.433021012,0
2013,8,1071.1,0.348213563,0
2013,9,852.9,0.618655544,0
2013,10,721.3,-1.13168369,0
2013,11,777.7,0.843181691,0
2013,12,818.8,1.016555298,0
2014,1,819.9,-0.847394574,0
2014,2,614.2,1.382783187,0
2014,3,304.3,-1.184118907,36
2014,4,311.7,-0.182166509,0
2014,5,554.2,1.069002925,0
2014,6,571.8,-1.256583478,34.3
2014,7,571.7,-0.906388086,2.1
2014,8,593,1.291739493,0
2014,9,819.7,0.339115454,0
2014,10,833.6,-0.774434325,0
2014,11,864.9,1.455643111,0
2014,12,825.7,-0.016773703,0
2015,1,1006.6,1.398340998,0
2015,2,693.4,0.9575633,0
2015,3,529.5,-0.25821799,25.3
2015,4,256.5,-1.168940148,34.9
2015,5,227.8,-0.967121923,27.8
2015,6,263.1,-0.728718946,30.4
2015,7,258.5,-1.819681992,80.9
2015,8,395.5,-0.278787914,0
2015,9,459.4,-0.777008538,0
2015,10,479.9,-2.191461259,14.1
2015,11,571.9,0.680272006,0
2015,12,557.8,-0.905557381,0
2016,1,561.3,-1.44035772,2.6
2016,2,365.5,1.124798083,0
2016,3,331.7,0.895438943,5.7
2016,4,593.5,1.32120889,0
2016,5,711,0.282282963,0
2016,6,728.3,-0.42597733,3.3
2016,7,592.6,-0.184736108,0
2016,8,559.5,-0.442734802,0
2016,9,632.2,-0.347014825,0
2016,10,609.2,-0.171706595,0
2016,11,931.1,2.067670979,0
